processName,model,cv_r2,cv_mae,holdout_r2,holdout_mae,samples
Aluminum Bauxite (Bayer),Linear Regression,0.7255364806034201,1.6652940280006192,0.8829872330839501,2.558161308911096,20
Aluminum Bauxite (Bayer),Random Forest,0.9355390779563612,0.9541166666665937,0.9096604038269714,2.3961666666665487,20
Aluminum Bauxite (Bayer),SVR (RBF),0.31618352779672254,2.592899650754254,0.7775464900020053,3.63828128720289,20
Aluminum Bauxite (Bayer),XGBoost,0.7810351417467827,1.3672564697265628,0.9535832376552486,1.5301948547363295,20
Cobalt Leaching (PAL),Linear Regression,0.9072825546993961,1.9857677366115953,0.897651197214309,2.8826487733539103,20
Cobalt Leaching (PAL),Random Forest,0.9836650805248061,1.0210333333333605,0.9850866691648098,1.4708333333334203,20
Cobalt Leaching (PAL),SVR (RBF),-0.048791867900226514,4.828633728146257,0.9051240452579764,3.621584386929449,20
Cobalt Leaching (PAL),XGBoost,0.8650421638149476,1.9932415390014637,0.9793021452455342,1.5453098297119148,20
Copper Flotation,Linear Regression,0.9358435038020338,1.3273524541424764,0.9323428267045785,1.7117935679824932,20
Copper Flotation,Random Forest,0.9498519604223205,1.3699500000001066,0.9665265561415123,1.238416666666641,20
Copper Flotation,SVR (RBF),0.9380020725597686,1.456949315647845,0.9496534309892848,1.0759338907909566,20
Copper Flotation,XGBoost,0.9383109516756125,1.3754851531982424,0.8769060600345836,1.71510200500488,20
Copper Heap Leach,Linear Regression,0.8343623133383655,1.7109367249712313,0.8580029877268672,2.0425447273189903,20
Copper Heap Leach,Random Forest,0.9224500499270881,0.9347166666666823,0.9406868991081648,1.149416666666614,20
Copper Heap Leach,SVR (RBF),0.23084367702005176,3.517782115182815,0.14409401550800116,4.390417889735193,20
Copper Heap Leach,XGBoost,0.9112482226508021,1.0997904968261722,0.9359527196811375,0.8892299652099602,20
Gold Cyanidation,Linear Regression,0.7872745424901776,0.47905916214978034,0.9962388065248147,0.32502780752593097,20
Gold Cyanidation,Random Forest,0.7538604964049502,0.8246833333333548,0.8670471659118545,1.607583333333487,20
Gold Cyanidation,SVR (RBF),0.7725417942314683,0.8911342260503652,0.9365890897749665,1.3997485600070547,20
Gold Cyanidation,XGBoost,0.7572614644186679,0.7525541687011732,0.9186426600097662,1.4355312347412124,20
Iron Magnetite,Linear Regression,0.7626627138017869,1.296858875464683,0.03121923602017962,1.646177246833826,20
Iron Magnetite,Random Forest,0.9314793629564502,0.8198333333333565,0.8816992609017674,0.3672499999999346,20
Iron Magnetite,SVR (RBF),0.8788711212859399,1.079056215206439,0.5573959647877913,1.0562318546173621,20
Iron Magnetite,XGBoost,0.8845942005713185,0.966963272094727,0.90065447120643,0.3786346435546868,20
Lead Smelting,Linear Regression,0.5597171547165645,0.7695213210005243,0.9701809472647948,0.8326877184301225,20
Lead Smelting,Random Forest,0.45254147437791337,0.7538666666666096,0.8594631074624244,1.776083333333336,20
Lead Smelting,SVR (RBF),-3.1004198204572804,1.7920599911445372,0.8331856602054524,1.8127282012337993,20
Lead Smelting,XGBoost,0.8986098487746215,0.9512874603271492,0.869188453144018,1.7218341827392578,20
Nickel Laterite (HPAL),Linear Regression,0.822165031042984,1.4351440503693034,0.8019247473594335,2.1331774093738396,20
Nickel Laterite (HPAL),Random Forest,0.9113218669561807,0.9024333333332131,0.9971778339469644,0.3148333333329987,20
Nickel Laterite (HPAL),SVR (RBF),-2.0256935175308906,6.272143651316947,0.8866893017673974,2.2054836605122823,20
Nickel Laterite (HPAL),XGBoost,0.6363018104221485,2.132255630493166,0.9625514957571639,1.049831390380863,20
Silver Leaching,Linear Regression,0.7894695684097706,0.9333857029274242,0.9833835924064102,1.0793646814338338,20
Silver Leaching,Random Forest,0.8485703271047266,0.8683833333333283,0.97384688295166,1.0368333333331492,20
Silver Leaching,SVR (RBF),0.7820069188648376,0.8438741348408911,0.9799677550261332,1.242506113014894,20
Silver Leaching,XGBoost,0.8234456558396508,0.89678352355957,0.9875939440728878,0.8521297454833956,20
Zinc Roasting,Linear Regression,0.9484673269191279,1.0142231179925396,0.9723967981306665,0.9344187076382191,20
Zinc Roasting,Random Forest,0.9342423658333138,0.8185666666666556,0.9847764230852053,0.8139166666667315,20
Zinc Roasting,SVR (RBF),-0.4374205546751936,5.2171306353187,0.24142203047526667,5.669289876655064,20
Zinc Roasting,XGBoost,0.8146033153653773,1.3522171020507805,0.9908977427257077,0.5624767303466776,20
